Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Arapahoe Community College	Littleton	CO	8376	6.22440622440622	30400	4884	NA	NA
Southern Crescent Technical College	Griffin	GA	4995	6.2	21700	3500	NA	NA
Danville Area Community College	Danville	IL	2438	6.17142857142857	21600	3500	NA	NA
Baton Rouge Community College	Baton Rouge	LA	7960	6.17142857142857	21600	3500	NA	NA
Massasoit Community College	Brockton	MA	6555	6.14937388193202	27500	4472	NA	NA
Grand Canyon University	Phoenix	AZ	24736	6.12857142857143	42900	7000	NA	0.3683
New England Tractor Trailer Training School of Connecticut	Somers	CT	422	6.12781954887218	32600	5320	NA	NA
San Diego Mesa College	San Diego	CA	22802	6.11111111111111	27500	4500	NA	NA
Tint School of Makeup and Cosmetology-Irving	Irving	TX	107	6.10632183908046	17000	2784	NA	NA
Delaware Technical Community College-Terry	Dover	DE	3212	6.09446419502285	24000	3938	NA	NA
San Diego Miramar College	San Diego	CA	11414	6.08888888888889	27400	4500	NA	NA
University of Arkansas Community College-Hope	Hope	AR	1165	6.08683109764893	21100	3466.5	NA	NA
Northeast Alabama Community College	Rainsville	AL	2888	6.08571428571429	21300	3500	NA	NA
Canton City Schools Adult Career and Technical Education	Canton	OH	118	6.06666666666667	27300	4500	NA	0.5952
Boricua College	New York	NY	1209	6.06516290726817	24200	3990	NA	NA
Palomar College	San Marcos	CA	23285	6.05670103092783	23500	3880	NA	NA
Illinois Central College	East Peoria	IL	9796	6.03360488798371	23700	3928	NA	NA
Helene Fuld College of Nursing	New York	NY	352	6.03146853146853	75900	12584	NA	NA
Wellesley College	Wellesley	MA	2372	6.02893890675241	37500	6220	1379	0.3068
Heartland Community College	Normal	IL	5214	6.02857142857143	21100	3500	NA	NA
Northwest Mississippi Community College	Senatobia	MS	8053	6.02295746117488	22300	3702.5	NA	NA
Luna Community College	Las Vegas	NM	917	6.00811907983762	22200	3695	NA	NA
Cascadia Community College	Bothell	WA	2122	5.98290598290598	32200	5382	NA	NA
Santiago Canyon College	Orange	CA	11825	5.97894736842105	28400	4750	NA	NA
Carl Albert State College	Poteau	OK	2394	5.97142857142857	20900	3500	NA	NA
Southwestern College	Chula Vista	CA	18484	5.96774193548387	22200	3720	NA	NA
Walters State Community College	Morristown	TN	5549	5.95254808367261	21200	3561.5	NA	0.9956
Albany College of Pharmacy and Health Sciences	Albany	NY	1077	5.95183776932826	117400	19725	1175	0.6409
Francis Tuttle Technology Center	Oklahoma City	OK	941	5.92118836393646	28700	4847	NA	NA
Muskegon Community College	Muskegon	MI	3871	5.91428571428571	20700	3500	NA	NA
Danville Community College	Danville	VA	2686	5.91428571428571	20700	3500	NA	NA
Western Wyoming Community College	Rock Springs	WY	2928	5.91111111111111	26600	4500	NA	NA
TDDS Technical Institute	Lake Milton	OH	219	5.90209238057639	29900	5066	NA	0.85
Jefferson Community College	Watertown	NY	3037	5.89236611234778	22500	3818.5	NA	NA
Dawson Community College	Glendive	MT	333	5.87786259541985	23100	3930	NA	NA
Western Suffolk BOCES	Northport	NY	400	5.83292939085474	36100	6189	NA	NA
Delta Montrose Technical College	Delta	CO	246	5.83157894736842	27700	4750	NA	NA
Grayson County College	Denison	TX	4220	5.8	26100	4500	NA	NA
Illinois Eastern Community Colleges-Olney Central College	Olney	IL	985	5.78666666666667	21700	3750	NA	NA
Richland Community College	Decatur	IL	2891	5.78599735799207	21900	3785	NA	NA
Bates Technical College	Tacoma	WA	1508	5.78154425612053	30700	5310	NA	NA
Southwestern Christian College	Terrell	TX	216	5.77142857142857	20200	3500	NA	NA
Dutchess BOCES-School of Practical Nursing	Poughkeepsie	NY	166	5.7665692757189	37500	6503	NA	0.7609
Newberry School of Beauty	Granada Hills	CA	203	5.74985180794309	19400	3374	NA	NA
Holyoke Community College	Holyoke	MA	6805	5.73170731707317	23500	4100	NA	NA
Medical Training College	Baton Rouge	LA	260	5.71428571428571	20000	3500	NA	NA
Latter-day Saints Business College	Salt Lake City	UT	1979	5.68888888888889	25600	4500	NA	NA
John A Logan College	Carterville	IL	5578	5.68571428571429	19900	3500	NA	NA
Coastline Community College	Fountain Valley	CA	8687	5.67619047619048	29800	5250	NA	NA
Butler County Community College	Butler	PA	3934	5.67521367521368	24900	4387.5	NA	NA
Community College of Rhode Island	Warwick	RI	16981	5.67272727272727	23400	4125	NA	NA
New England Tractor Trailer Training School	Pawtucket	RI	165	5.6533827618165	30500	5395	NA	NA
New England Tractor Trailer Training School of Massachusetts	North Andover	MA	156	5.6533827618165	30500	5395	NA	NA
Choffin Career and Technical Center	Youngstown	OH	217	5.64	28200	5000	NA	NA
Ulster County BOCES-School of Practical Nursing	Port Ewen	NY	151	5.63076923076923	36600	6500	NA	0.7065
Westmoreland County Community College	Youngwood	PA	6249	5.62352941176471	23900	4250	NA	NA
Garden City Community College	Garden City	KS	1330	5.62222222222222	25300	4500	NA	NA
CUNY LaGuardia Community College	Long Island City	NY	16241	5.62222222222222	25300	4500	NA	NA
Mitchells Academy	Raleigh	NC	116	5.57977332170881	19200	3441	NA	NA
Dodge City Community College	Dodge City	KS	1181	5.57046979865772	24900	4470	NA	NA
Suffolk County Community College	Selden	NY	23332	5.55832254208587	27900	5019.5	NA	NA
Sinclair Community College	Dayton	OH	19051	5.54730064388311	22400	4038	NA	NA
Fresno City College	Fresno	CA	17730	5.54285714285714	19400	3500	NA	NA
Eastern Suffolk BOCES-School of Practical Nursing	Patchogue	NY	363	5.52724656795156	46100	8340.5	NA	0.9648
Holy Name Medical Center School of Nursing	Teaneck	NJ	139	5.52671755725191	72400	13100	NA	0.305
