School.Name	State	Admin2011	Tuition2011	AdminperDollar
Miami University-Hamilton	Ohio	43	4964.15472577354	0.00866209906325987
Marion Technical College	Ohio	38	4387.26463976147	0.00866143328934588
Ashland University	Ohio	256	29602.6435159731	0.00864787632435145
Lake Region State College	North Dakota	35	4047.55198588003	0.00864720209205422
Berry College	Georgia	233	27021.6559139227	0.00862271360209084
Emerson College	Massachusetts	292	33896.6943177793	0.00861440933627683
The University of Tampa	Florida	213	24832.1664312844	0.00857758426311347
Alabama Southern Community College	Alabama	36	4225.69398730566	0.00851931069976837
Red Rocks Community College	Colorado	25	2936.23589559107	0.00851430228665857
University of New Mexico-Gallup Campus	New Mexico	15	1764.84866528648	0.00849931231784403
Bethel University	Minnesota	259	30511.9962906924	0.00848846458725507
Kennebec Valley Community College	Maine	28	3299.76986361663	0.00848544024500888
Spoon River College	Illinois	61	7208.53680187436	0.00846218888473161
Northern Maine Community College	Maine	29	3431.30494606462	0.00845159507995937
Niagara University	New York	231	27342.7258002131	0.00844831644393697
Lurleen B Wallace Community College	Alabama	34	4039.26631139512	0.00841737022985662
Eastern University	Pennsylvania	225	26773.0856793753	0.00840396219899781
Cedarville University	Ohio	212	25271.3071789848	0.00838896059070088
Gardner-Webb University	North Carolina	204	24349.5258925383	0.0083779865324817
Central Virginia Community College	Virginia	30	3605.3041102478	0.00832107336374963
Point Park University	Pennsylvania	204	24567.0248477672	0.00830381380179784
William Carey University	Mississippi	89	10719.5913648563	0.00830255529065993
Drury University	Missouri	180	21794.4310232532	0.00825899055625504
Lipscomb University	Tennessee	200	24332.9545435684	0.00821930602968488
Baker College of Owosso	Michigan	64	7829.96238824284	0.00817373019519223
Stevenson University	Maryland	199	24480.0252656756	0.00812907657734428
University of Mary	North Dakota	112	13903.3617856841	0.00805560566763954
King's College	Pennsylvania	112	14023.5040657154	0.00798659161612948
Spring Arbor University	Michigan	178	22288.4643644161	0.0079861939831162
North Park University	Illinois	174	21801.6809884275	0.00798103596196828
Alverno College	Wisconsin	173	21821.3594653292	0.00792801201386517
Marist College	New York	237	29921.6419836423	0.00792068831414948
Stetson University	Florida	286	36330.6111977225	0.00787214942362237
St Catherine University	Minnesota	257	32769.8425878312	0.0078425765797067
